IBM
PPL.TO
TD.TO
CNR.TO
GWO.TO
BMO.TO
CNI
COST
AAPL
T.TO
SO
BK
CMCSA
GOOG
ORCL
ABBV
VZ
SPG
CSCO
CVS
OTEX.TO
SU.TO
